dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20181112,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.16609649319063136,0.81965946,0.471119219,0.514536847,0.224756161,0.769320474,0.407309224,0.586757422,
20181112,NULL,2,NULL,0.138455169,0.861142231,0.417765537,0.581831528,0.174009903,0.825693986,0.347855005,0.651850114
20181112,40,NULL,NULL,0.180364301,0.819540482,0.551714755,0.448189505,0.195828877,0.804143395,0.398671508,0.601299979
20181112,60,NULL,NULL,0.152500062,0.847223846,0.436557562,0.56316728,0.163494962,0.83640927,0.379367489,0.620538612
20181112,70,NULL,NULL,0.109049366,0.889284152,0.319992192,0.678353161,0.116379645,0.883172804,0.28023234,0.719349157
20181112,NULL,1,NULL,0.196602495,0.802977591,0.537818629,0.46176167,0.218303944,0.781383413,0.407351623,0.592336054
20181112,0,NULL,NULL,0.058028805,0.935040016,0.114667142,0.878398981,0.132339882,0.856652251,0.227238506,0.761729345
20181112,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16582171806424648,0.83370928,0.482374529,0.517156469,0.193554733,0.805976265,0.382018217,0.617509358,
20181112,NULL,NULL,?봔?怨뚰굝????0.165810417,0.833639938,0.456571541,0.542877716,0.193069166,0.806591831,0.36853507,0.63112483,
20181112,NULL,NULL,??뽳폒?諛명?癒?뒄??0.18541223502541887,0.811471716,0.491313647,0.505584554,0.210359098,0.787745622,0.423301026,0.574789444,
20181112,NULL,NULL,野껋럩湲썽겫怨룸즲,0.162538887,0.837195795,0.444628495,0.555106187,0.205697321,0.794008619,0.396077382,0.603630768
20181112,NULL,NULL,NULL,0.168208973,0.831379568,0.479196327,0.520392159,0.196675024,0.803020405,0.378299237,0.621396956
20181112,10,NULL,NULL,0.105141071,0.894369844,0.292623716,0.70688832,0.156842654,0.842965185,0.280555536,0.719254544
20181112,20,NULL,NULL,0.203103544,0.796590951,0.493560594,0.506131809,0.266728322,0.733195929,0.390927914,0.608991734
