,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
514,20190304,0.815897652,0.452845245,0.543955818,0.188969396,0.81065901,0.357091965,0.642536441
515,20190304,0.831754466,0.486145792,0.512165218,0.162939445,0.836879273,0.34022432,0.659593408
516,20190304,0.796425172,0.492096581,0.492319529,0.203076646,0.79339476,0.371237307,0.625242899
517,20190304,0.057312181,0.88360978,0.10691778,0.834004181,0.10043769,0.891507081,0.180934417
518,20190304,0.193201634,0.805557046,0.491510962,0.507247718,0.190609058,0.809266261,0.356918597
519,20190304,0.818592268,0.496391411,0.500577957,0.171076458,0.828560802,0.340456134,0.659182797
520,20190304,0.801852637,0.485023453,0.511028536,0.192526328,0.807027054,0.356047917,0.643505466
521,20190304,0.191697211,0.80577329,0.472312356,0.525158145,0.193835461,0.805899515,0.357048925
522,20190304,0.816628816,0.478256273,0.518201774,0.180304134,0.818796954,0.343359619,0.655741469
523,20190304,0.178997422,0.817920235,0.470010778,0.526906879,0.190799674,0.808826963,0.357977479
524,20190304,0.177856763,0.820717486,0.49035848,0.508215769,0.174903897,0.824912936,0.344400116
525,20190304,0.831846075,0.489152865,0.51054096,0.160119366,0.839844179,0.322461547,0.677501998
526,20190304,0.824645629,0.495803005,0.502621729,0.16519138,0.834676411,0.334221318,0.665646472
527,20190304,0.818525076,0.483029492,0.515635663,0.17444365,0.825382972,0.333432885,0.666393737
528,20190304,0.15172335,0.847915594,0.441061077,0.558577867,0.150106669,0.849823897,0.359497999
529,20190304,0.815018121,0.47785504,0.519135752,0.181377782,0.818332032,0.351511708,0.648198106
530,20190304,0.191815752,0.808075215,0.541100658,0.458790308,0.205263403,0.794708478,0.362341268
531,20190304,0.179691945,0.820240435,0.549820642,0.450111738,0.168769204,0.831212108,0.354239086
532,20190311,0.802083882,0.49692779,0.496604659,0.205993162,0.790155472,0.387037331,0.609111303
533,20190311,0.148671065,0.851223883,0.437054625,0.562840323,0.154358753,0.84556779,0.376968715
534,20190311,0.178396897,0.821561261,0.53560236,0.464355799,0.176270835,0.823697652,0.409094342
535,20190311,0.141348996,0.858367611,0.355379392,0.644336685,0.124380362,0.875498865,0.241157342
536,20190311,0.183836509,0.815536837,0.464920821,0.534452524,0.196698224,0.803020001,0.385213356
537,20190311,0.831404796,0.491951875,0.507723471,0.166314905,0.833515751,0.341373895,0.658456761
538,20190311,0.187116914,0.812831306,0.54128947,0.458658751,0.208354484,0.791614334,0.37598689
539,20190311,0.820463127,0.483083426,0.516600533,0.184456642,0.815341558,0.365485805,0.634312396
540,20190311,0.172146884,0.827483076,0.486584621,0.513045288,0.177569672,0.822227768,0.358132277
541,20190311,0.18096463,0.818604267,0.467057355,0.532511542,0.194438306,0.805360651,0.386161685
542,20190311,0.807030051,0.500757073,0.496110618,0.197857742,0.800412338,0.418641532,0.579628548
543,20190311,0.838077173,0.487417152,0.512522997,0.160329923,0.839635981,0.325560657,0.674405248
544,20190311,0.05053232,0.935124859,0.103570562,0.882086617,0.108685341,0.882564655,0.200573766
545,20190311,0.14067986,0.858948624,0.424933542,0.574694942,0.15329224,0.846524852,0.327108571
546,20190311,0.823415502,0.44729707,0.551899144,0.19095542,0.808581741,0.359947715,0.639587679
547,20190311,0.814725284,0.481752565,0.517027144,0.19514506,0.804277481,0.386380779,0.613041762
